X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.002596569994416517,66.31552055800871,0.8366684067033548
2.0,2.0,train,0.0030619109104572644,70.02413875398835,0.8819566306355162
3.0,3.0,train,0.0017319712107091753,57.02421103398152,0.7013930344375674
4.0,4.0,train,0.0035685501380591975,73.66755274145515,0.9171109965848113
5.0,5.0,train,0.013405781012999253,94.34700817445277,0.9999134682781274
6.0,6.0,train,0.001226574084600652,46.595027646527164,0.5751181535528834
7.0,7.0,train,0.00492700744933808,81.18601655892206,0.9678784948164962
8.0,8.0,train,0.0014451690170074534,51.96145310406392,0.6352295273026877
9.0,9.0,train,0.0016142315873041613,55.311796599924826,0.6758226203292217
10.0,10.0,train,0.0024565598180679208,65.04447573620602,0.8199046914161693
11.0,11.0,train,8.483051308167946E-4,33.588504991790785,0.4467667137852136
12.0,12.0,train,0.012817035413122475,93.00655393149266,0.999869502076074
13.0,13.0,train,0.003310496494504331,71.9367465281883,0.9007560646891105
14.0,14.0,train,8.283755890182209E-4,32.91516115951586,0.4390188721034399
15.0,15.0,train,7.258826492486313E-4,29.061192341553653,0.39742614172279145
16.0,16.0,train,0.004088158787824124,77.10514092337554,0.942320477102763
17.0,17.0,train,0.004395051797416828,78.39004804433556,0.9534399870851771
18.0,18.0,train,0.005787474373979456,82.82845728965091,0.9823794940494207
19.0,19.0,train,3.4763317550022614E-4,14.887560007510872,0.21540685502939128
20.0,20.0,train,0.039269659166417115,99.99999271454718,0.9999999999987448
21.0,21.0,train,0.01725982679401698,96.07303886353928,0.999994123097414
22.0,22.0,train,0.004764055264469566,80.20976199471654,0.9640100692129148
23.0,23.0,train,5.153035840765565E-4,21.38869871041921,0.3020417314980539
24.0,24.0,train,0.004835555557137202,80.69329950885327,0.9657617336156997
25.0,25.0,train,0.002266365851336023,63.37656391137724,0.7943429710463961
26.0,26.0,train,6.336142793877811E-4,25.62141552432521,0.3573513326308493
27.0,27.0,train,0.001631927661659775,55.80035610335211,0.6798012408392431
28.0,28.0,train,5.300587110015053E-4,22.10582575284038,0.30919146887573556
29.0,29.0,train,0.005968494539306761,83.42532631908297,0.9844704998938154
30.0,30.0,train,0.0017986078056579009,58.75794942330616,0.7149607238432729
31.0,31.0,train,4.8654806662485847E-4,19.943432285780283,0.2878946461231131
32.0,32.0,train,0.0033494932130633515,72.27172846897736,0.9034203934712384
33.0,33.0,train,0.0010911885185761819,42.015768878503536,0.5330194215308237
34.0,34.0,train,0.011290016703863124,90.54588112052332,0.9996212176679268
35.0,35.0,train,0.011789280815458518,91.72472446319372,0.9997326500083804
36.0,36.0,train,0.003117078558980605,70.64575298441918,0.8864146796703172
37.0,37.0,train,7.809308292963194E-4,31.128202762667367,0.4201347233993644
38.0,38.0,train,0.001697059233854222,56.64068807671926,0.6940288091838283
39.0,39.0,train,2.422478835819412E-4,10.901546780121352,0.1555321585198155
40.0,40.0,train,0.0012629247463678101,47.51030032471273,0.5857604531187957
41.0,41.0,train,8.873159539260145E-5,4.482302329131893,0.06004178416410033
42.0,42.0,train,7.715255434145327E-4,30.74316712908479,0.41631636457893295
43.0,43.0,train,0.0037115366843292223,74.76126543089798,0.9249824834014674
44.0,44.0,train,5.629097233942526E-4,22.877367154075987,0.3248477859873723
45.0,45.0,train,0.0013374905316336626,49.4049839543233,0.6067640005043321
46.0,46.0,train,0.006049259355675433,84.03021343233897,0.9853215405594777
47.0,47.0,train,3.0642522448677453E-4,13.159867979117626,0.19251734549177646
48.0,48.0,train,1.3450933753499732E-4,6.407193291329794,0.0895944192874234
