Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.15707E-12,0.000000001,0.000000001,0.985008199,0,0
3.0898E-12,0.000000003,0.000000002,0.98336847,0,0
1.46632E-11,0.000000011,0.000000012,0.981026001,0,0
2.48132E-11,0.000000025,0.00000002,0.979386273,0,0
7.44617E-11,0.000000101,0.00000006,0.975638323,0,0
1.54734E-10,0.000000257,0.000000124,0.972358866,0,0
5.82125E-10,0.000001035,0.000000468,0.967205435,0,0
1.26952E-9,0.000002521,0.000001021,0.963457484,0,0
3.12284E-9,0.000010251,0.000002511,0.955258843,0,0
7.64303E-9,0.000025699,0.000006146,0.948465683,0,0
1.41978E-8,0.000050846,0.000011417,0.942843757,0,0
2.35406E-8,0.000100815,0.00001893,0.936519091,0,0
5.64363E-8,0.000254742,0.000045382,0.927149215,0,0
8.97144E-8,0.000503926,0.00007214,0.919184821,0,0
1.46245E-7,0.001014436,0.000117594,0.909112204,0,0
3.07992E-7,0.002505254,0.000247639,0.893417662,0,0
5.62686E-7,0.00504282,0.000452377,0.879831342,0,0
9.47547E-7,0.010018156,0.000761671,0.863902553,0,0
1.97704E-6,0.025090719,0.001588553,0.839072382,0,0
3.39805E-6,0.050175392,0.002728777,0.816818927,0,0
5.03235E-6,0.100222095,0.004038538,0.788943546,0,0
7.38186E-6,0.200022381,0.005918474,0.75169829,0,0
9.4108E-6,0.300396887,0.007539043,0.723822909,0,0
1.09903E-5,0.400757411,0.008798785,0.700632467,0,0
1.26044E-5,0.501021575,0.0100845,0.68072148,0,0
1.39332E-5,0.600626786,0.011141739,0.663152963,0,0
1.52219E-5,0.701308693,0.012165931,0.646989927,0,0
1.58218E-5,0.750924228,0.01264233,0.639494027,0,0
1.66336E-5,0.801349645,0.013286713,0.632232373,0,0
1.782E-5,0.901253247,0.014227594,0.618646053,0,0
1.88764E-5,1.000427874,0.015064654,0.605996721,0,0
2.00361E-5,1.101422807,0.015982731,0.593815882,0,0
2.1075E-5,1.202052371,0.016804443,0.582337784,0,0
2.21463E-5,1.301643928,0.017651124,0.571562427,0,0
2.30817E-5,1.401246838,0.018389714,0.561255563,0,0
2.41034E-5,1.500753531,0.019195869,0.551417194,0,0
2.66305E-5,1.751320055,0.02118704,0.528226751,0,0
2.90965E-5,2.001579913,0.023126085,0.50714453,0,0
3.12233E-5,2.251494262,0.024795327,0.487702038,0,0
3.33523E-5,2.503161468,0.026463497,0.46943078,0,0
3.55068E-5,2.751432421,0.028148737,0.452565004,0,0
3.80947E-5,3.001204451,0.030169026,0.436636215,0,0
4.06926E-5,3.250193207,0.032192986,0.42187866,0,0
4.44459E-5,3.501373987,0.03510962,0.408058093,0,0
4.70561E-5,3.752739116,0.03713278,0.395174514,0.027027027,0
5.01648E-5,4.001233457,0.039536787,0.383227922,0.027027027,0
5.31615E-5,4.25466644,0.041848442,0.371749824,0.027027027,0
5.74906E-5,4.503715613,0.045178224,0.361208714,0.027027027,0
6.1682E-5,4.753327524,0.048390968,0.351370344,0.027027027,0
6.46893E-5,5.000114428,0.05068943,0.342234715,0.027027027,0
6.73778E-5,5.250810996,0.052739598,0.333333333,0.027027027,0
7.03002E-5,5.50618817,0.054963064,0.324666198,0.027027027,0
7.45143E-5,5.751689802,0.058160132,0.316701804,0.027027027,0
7.87222E-5,6.005215681,0.06134168,0.308971656,0.027027027,0
8.32368E-5,6.256796527,0.064743145,0.301710002,0.027027027,0
8.84418E-5,6.506240882,0.068649544,0.294916842,0.027027027,0
9.43723E-5,6.752569983,0.073080557,0.288592176,0.027027027,0
1.00717E-4,7.006909833,0.077797649,0.282501757,0.027027027,0
1.04885E-4,7.253382721,0.080883357,0.276879831,0.027027027,0
1.10911E-4,7.502378152,0.085326779,0.271492153,0.027027027,0
1.16023E-4,7.751216179,0.089078952,0.266338721,0.027027027,0
1.2366E-4,8.004587742,0.094655922,0.261419536,0.027027027,0
1.29387E-4,8.257513201,0.098815261,0.256734598,0.027027027,0
1.33621E-4,8.506978493,0.101878787,0.252283907,0.027027027,0
1.39798E-4,8.752656583,0.106329058,0.248067463,0.027027027,0
1.45826E-4,9.010378832,0.110649913,0.243851019,0.027027027,0
1.50745E-4,9.262265609,0.114161116,0.239868822,0.027027027,0
1.5689E-4,9.509272634,0.118527404,0.236120871,0.054054054,0
1.64227E-4,9.766076783,0.123713076,0.232372921,0.054054054,0
1.7003E-4,10.016659146,0.127792296,0.228859218,0.054054054,0
1.75192E-4,10.259233456,0.131405566,0.225579761,0.054054054,0
1.8022E-4,10.507545525,0.134910779,0.222300305,0.054054054,0
1.85279E-4,10.762666525,0.138422373,0.219020848,0.081081081,0
1.93355E-4,11.00987805,0.143999701,0.215975638,0.081081081,0
1.96686E-4,11.263718582,0.146289772,0.212930429,0.081081081,0
2.00548E-4,11.502238597,0.1489365,0.210119466,0.081081081,0
2.05352E-4,11.766627369,0.152218475,0.207074256,0.081081081,0
2.13292E-4,12.017889574,0.157613935,0.204263294,0.081081081,0
2.19034E-4,12.25547596,0.161494593,0.201686578,0.081081081,0
2.22352E-4,12.520579115,0.163728996,0.198875615,0.081081081,0
2.29402E-4,12.769648612,0.168456328,0.196298899,0.081081081,0
2.33185E-4,13.001258469,0.170982417,0.19395643,0.081081081,0
2.38027E-4,13.261120915,0.174204095,0.191379714,0.081081081,0
2.41661E-4,13.501129211,0.176613718,0.189037245,0.081081081,0
2.46262E-4,13.769663109,0.17965418,0.186460529,0.081081081,0
2.54305E-4,14.019788609,0.184942849,0.18411806,0.081081081,0
2.5884E-4,14.251102705,0.18790989,0.182009838,0.081081081,0
2.65542E-4,14.513264938,0.192274628,0.179667369,0.081081081,0
2.71008E-4,14.755095003,0.195817402,0.177559147,0.081081081,0
