x,y,species cloglog values
1.0,1.0,0.37478787
2.0,2.0,0.68320286
3.0,3.0,0.67404014
4.0,4.0,0.3633859
5.0,5.0,0.032491438
6.0,6.0,0.2987378
7.0,7.0,0.18214366
8.0,8.0,0.45377478
9.0,9.0,0.49068114
10.0,10.0,0.22155033
11.0,11.0,0.6252273
12.0,12.0,0.61506855
13.0,13.0,0.41391805
14.0,14.0,0.039849356
15.0,15.0,0.038352758
16.0,16.0,0.0412774
17.0,17.0,0.27300882
18.0,18.0,0.23895128
19.0,19.0,0.2624939
20.0,20.0,0.37881908
21.0,21.0,0.48360413
22.0,22.0,0.82214713
23.0,23.0,0.21603872
24.0,24.0,0.16282451
25.0,25.0,0.025868792
26.0,26.0,0.026617028
27.0,27.0,0.14011846
28.0,28.0,0.32737103
29.0,29.0,0.3178578
30.0,30.0,0.42686203
31.0,31.0,0.3488046
32.0,32.0,0.023352053
33.0,33.0,0.02128222
34.0,34.0,0.020723019
35.0,35.0,0.01818436
36.0,36.0,0.020694718
37.0,37.0,0.25342175
38.0,38.0,0.3452735
39.0,39.0,0.043252777
40.0,40.0,0.3469093
41.0,41.0,0.3279534
42.0,42.0,0.31574348
43.0,43.0,0.3620463
44.0,44.0,0.57027787
45.0,45.0,0.1745426
46.0,46.0,0.13140556
47.0,47.0,0.48611802
48.0,48.0,0.4806136
49.0,49.0,0.068649545
50.0,50.0,0.024823043
51.0,51.0,0.5802618
52.0,52.0,0.03402934
53.0,53.0,0.09630966
54.0,54.0,0.105791286
55.0,55.0,0.5021736
56.0,56.0,0.1883953
57.0,57.0,0.38076845
58.0,58.0,0.46698427
59.0,59.0,0.56393474
60.0,60.0,0.3845532
61.0,61.0,0.117711134
62.0,62.0,0.28334907
63.0,63.0,0.46243808
64.0,64.0,0.26206595
65.0,65.0,0.09388021
66.0,66.0,0.03223362
67.0,67.0,0.09644874
68.0,68.0,0.111833416
69.0,69.0,0.24596235
70.0,70.0,0.49974623
71.0,71.0,0.80988294
72.0,72.0,0.5736515
73.0,73.0,0.35038474
74.0,74.0,0.3846501
75.0,75.0,0.029319162
76.0,76.0,0.019501815
77.0,77.0,0.02206707
78.0,78.0,0.06637871
79.0,79.0,0.21363194
80.0,80.0,0.04228532
81.0,81.0,0.039536785
82.0,82.0,0.31278646
83.0,83.0,0.18661422
84.0,84.0,0.124104545
85.0,85.0,0.11712936
86.0,86.0,0.7862945
87.0,87.0,0.07370005
88.0,88.0,0.024435453
89.0,89.0,0.03210947
90.0,90.0,0.0143035725
91.0,91.0,0.013478185
92.0,92.0,0.01114174
93.0,93.0,0.020755222
94.0,94.0,0.40130612
95.0,95.0,0.44147712
96.0,96.0,0.47225985
97.0,97.0,0.04095739
98.0,98.0,0.4907293
99.0,99.0,0.1789247
100.0,100.0,0.5116204
101.0,101.0,0.3539671
102.0,102.0,0.44766387
103.0,103.0,0.42790827
104.0,104.0,0.025289133
105.0,105.0,0.017651124
106.0,106.0,0.01609352
107.0,107.0,0.047349345
108.0,108.0,0.22215638
109.0,109.0,0.0514132
110.0,110.0,0.026281951
111.0,111.0,0.57370186
112.0,112.0,0.023582654
113.0,113.0,0.015501011
114.0,114.0,0.009223638
115.0,115.0,0.008207683
116.0,116.0,0.007842184
117.0,117.0,0.008034315
118.0,118.0,0.023323081
119.0,119.0,0.019480035
120.0,120.0,0.025748055
121.0,121.0,0.7123731
122.0,122.0,0.41454232
123.0,123.0,0.40318814
124.0,124.0,0.8770989
125.0,125.0,0.5806294
126.0,126.0,0.23973802
127.0,127.0,0.109981515
128.0,128.0,0.1790852
129.0,129.0,0.04764545
130.0,130.0,0.016235348
131.0,131.0,0.021651892
132.0,132.0,0.020222832
133.0,133.0,0.03958323
134.0,134.0,0.22582904
135.0,135.0,0.38549352
136.0,136.0,0.39731446
137.0,137.0,0.043888755
138.0,138.0,0.44686309
