Predictor variable,Categorical,Sample average
CLASSIFIED.TPI,false,7.65
COST.TIME.FROM.RIVERS,false,267.19618415832525
HEIGHT.AT.SITES,false,434.6709274291992
NUMBER.OF.ANYSIZE.SITES.IN.SIGHT,false,0.425
SOLAR.IRRADIATION.AT.SITE,false,1370.4597198486324
TPI.3000M,false,-16.0591682434082
TPI.300M,false,2.4209274291992195
X..OF.VIEWVED.AREA.IN.3KM.BUFFER,false,0.22789943066891283
