x,y,species cloglog values
1.0,1.0,0.31106433
2.0,2.0,0.27676696
3.0,3.0,0.1295832
4.0,4.0,0.41195717
5.0,5.0,0.34760156
6.0,6.0,0.16577487
7.0,7.0,0.5255124
8.0,8.0,0.51005334
9.0,9.0,0.6358307
10.0,10.0,0.021909524
11.0,11.0,0.020772427
12.0,12.0,0.021080995
13.0,13.0,0.23287389
14.0,14.0,0.23030673
15.0,15.0,0.06286891
16.0,16.0,0.44394767
17.0,17.0,0.020367855
18.0,18.0,0.13677943
19.0,19.0,0.21551159
20.0,20.0,0.675717
21.0,21.0,0.40277496
22.0,22.0,0.40039724
23.0,23.0,0.76922977
24.0,24.0,0.55604094
25.0,25.0,0.015108255
26.0,26.0,0.01675988
27.0,27.0,0.12397613
28.0,28.0,0.26391274
29.0,29.0,0.13202597
30.0,30.0,0.012765343
31.0,31.0,0.006190393
32.0,32.0,0.014023003
33.0,33.0,0.014192575
34.0,34.0,0.014788014
35.0,35.0,0.015857564
36.0,36.0,0.54658836
37.0,37.0,0.088616826
38.0,38.0,0.32388508
39.0,39.0,0.31540534
40.0,40.0,0.52333695
41.0,41.0,0.012833768
42.0,42.0,0.14972384
43.0,43.0,0.54197586
44.0,44.0,0.20155326
45.0,45.0,0.4121815
46.0,46.0,0.27227446
47.0,47.0,0.41661757
48.0,48.0,0.48899007
49.0,49.0,0.030390235
50.0,50.0,0.049933083
51.0,51.0,0.56732076
52.0,52.0,0.13660474
53.0,53.0,0.15683766
54.0,54.0,0.05752
55.0,55.0,0.08874078
56.0,56.0,0.1891673
57.0,57.0,0.18326797
58.0,58.0,0.35302863
59.0,59.0,0.17748205
60.0,60.0,0.47644088
61.0,61.0,0.11632271
62.0,62.0,0.42786205
63.0,63.0,0.27938983
64.0,64.0,0.47613055
65.0,65.0,0.419067
66.0,66.0,0.52968067
67.0,67.0,0.081145644
68.0,68.0,0.068627454
69.0,69.0,0.10666234
70.0,70.0,0.09165694
71.0,71.0,0.19129246
72.0,72.0,0.44196698
73.0,73.0,0.417063
74.0,74.0,0.53302217
75.0,75.0,0.53876543
76.0,76.0,0.2863217
77.0,77.0,0.3549153
78.0,78.0,0.3105223
79.0,79.0,0.012620583
80.0,80.0,0.013699535
81.0,81.0,0.034285262
82.0,82.0,0.43771672
83.0,83.0,0.023019047
84.0,84.0,0.07105406
85.0,85.0,0.011510523
86.0,86.0,0.13966721
87.0,87.0,0.0842633
88.0,88.0,0.08220176
89.0,89.0,0.04951429
90.0,90.0,0.0073017254
91.0,91.0,0.01523272
92.0,92.0,0.02361336
93.0,93.0,0.010611652
94.0,94.0,0.014313602
95.0,95.0,0.26925716
96.0,96.0,0.3877703
97.0,97.0,0.42562684
98.0,98.0,0.01367628
99.0,99.0,0.46117818
100.0,100.0,0.0854304
101.0,101.0,0.025851687
102.0,102.0,0.48647323
103.0,103.0,0.4262872
104.0,104.0,0.052042216
105.0,105.0,0.42550603
106.0,106.0,0.20284775
107.0,107.0,0.21139452
108.0,108.0,0.013130168
109.0,109.0,0.011389803
110.0,110.0,0.016897764
111.0,111.0,0.026249673
112.0,112.0,0.018112395
113.0,113.0,0.5402705
114.0,114.0,0.5535612
115.0,115.0,0.02622836
116.0,116.0,0.076193936
117.0,117.0,0.059421558
118.0,118.0,0.16306686
119.0,119.0,0.14130473
120.0,120.0,0.015091756
121.0,121.0,0.011502291
122.0,122.0,0.0052861758
123.0,123.0,0.0035442712
124.0,124.0,0.007915894
125.0,125.0,0.010688211
126.0,126.0,0.00994966
127.0,127.0,0.0116961505
128.0,128.0,0.13926944
129.0,129.0,0.5601151
130.0,130.0,0.821188
131.0,131.0,0.73206854
132.0,132.0,0.95893127
133.0,133.0,0.49809963
134.0,134.0,0.38683158
135.0,135.0,0.19916847
136.0,136.0,0.1701208
137.0,137.0,0.020445717
138.0,138.0,0.0042505474
139.0,139.0,0.003231423
140.0,140.0,0.0074301353
141.0,141.0,0.17229275
142.0,142.0,0.025225412
143.0,143.0,0.005901079
144.0,144.0,0.026807971
145.0,145.0,0.01906342
146.0,146.0,0.14895794
147.0,147.0,0.2245852
148.0,148.0,0.25399482
149.0,149.0,0.030343123
150.0,150.0,0.37452334
151.0,151.0,0.013814544
152.0,152.0,0.0103401365
153.0,153.0,0.01618505
154.0,154.0,0.013665772
155.0,155.0,0.053247314
156.0,156.0,0.028848408
157.0,157.0,0.009357193
158.0,158.0,0.017311344
159.0,159.0,0.030672407
160.0,160.0,0.11959426
161.0,161.0,0.057140086
162.0,162.0,0.28390455
163.0,163.0,0.015758896
164.0,164.0,0.01899669
165.0,165.0,0.010151297
166.0,166.0,0.027181044
167.0,167.0,0.059552554
168.0,168.0,0.05533146
169.0,169.0,0.14782026
170.0,170.0,0.0046149045
171.0,171.0,0.008127257
172.0,172.0,0.07648469
173.0,173.0,0.20006905
174.0,174.0,0.5667493
175.0,175.0,0.63905096
176.0,176.0,0.536648
177.0,177.0,0.15611492
178.0,178.0,0.1759103
179.0,179.0,0.11666981
180.0,180.0,0.05137616
181.0,181.0,0.03442521
182.0,182.0,0.013175829
183.0,183.0,0.015462289
184.0,184.0,0.14713405
185.0,185.0,0.025694914
186.0,186.0,0.269497
187.0,187.0,0.024124036
188.0,188.0,0.29789016
189.0,189.0,0.025203785
190.0,190.0,0.028395997
191.0,191.0,0.03247008
192.0,192.0,0.016837895
193.0,193.0,0.31173003
194.0,194.0,0.34064773
195.0,195.0,0.026918704
196.0,196.0,0.03082186
197.0,197.0,0.29291078
198.0,198.0,0.16742803
199.0,199.0,0.1662506
200.0,200.0,0.46020722
201.0,201.0,0.16801642
202.0,202.0,0.04021691
203.0,203.0,0.0626243
204.0,204.0,0.004002897
205.0,205.0,0.06413048
206.0,206.0,0.0046278187
207.0,207.0,0.05591336
208.0,208.0,0.26496118
209.0,209.0,0.019143833
210.0,210.0,0.62200785
211.0,211.0,0.014032961
212.0,212.0,0.07597849
213.0,213.0,0.20410861
214.0,214.0,0.2362628
215.0,215.0,0.004947071
216.0,216.0,0.004156569
217.0,217.0,0.007621956
218.0,218.0,0.003076024
219.0,219.0,0.01683299
220.0,220.0,0.0038350208
221.0,221.0,0.0028356577
222.0,222.0,0.007995407
223.0,223.0,0.030162705
224.0,224.0,0.19918755
225.0,225.0,0.049200404
226.0,226.0,0.09563831
227.0,227.0,0.19988553
228.0,228.0,0.010683335
229.0,229.0,0.024668712
230.0,230.0,0.024325717
231.0,231.0,0.015427365
232.0,232.0,0.007175366
233.0,233.0,0.011389222
234.0,234.0,0.029223703
235.0,235.0,0.32980528
236.0,236.0,0.24438432
237.0,237.0,0.4140493
238.0,238.0,0.35780776
239.0,239.0,0.19465968
240.0,240.0,0.7754007
241.0,241.0,0.039409745
242.0,242.0,0.27654496
243.0,243.0,0.6849451
244.0,244.0,0.38517052
245.0,245.0,0.3122367
246.0,246.0,0.3708277
247.0,247.0,0.042532306
248.0,248.0,0.02922491
249.0,249.0,0.08261478
250.0,250.0,0.004158841
251.0,251.0,0.006530304
252.0,252.0,0.0069043315
253.0,253.0,0.027027937
254.0,254.0,0.25485757
255.0,255.0,0.35546046
256.0,256.0,0.010813454
257.0,257.0,0.020845206
258.0,258.0,0.016340656
259.0,259.0,0.0060280594
260.0,260.0,0.0014662403
261.0,261.0,0.01773025
262.0,262.0,0.003709267
263.0,263.0,0.004751543
264.0,264.0,0.0051891776
265.0,265.0,0.0034318545
266.0,266.0,0.0027560487
267.0,267.0,0.013753161
268.0,268.0,0.015377425
269.0,269.0,0.0076782256
270.0,270.0,0.20222847
271.0,271.0,0.01331638
272.0,272.0,0.06944538
273.0,273.0,0.13036807
274.0,274.0,0.2970679
275.0,275.0,0.023795389
276.0,276.0,0.23041616
277.0,277.0,0.2540514
278.0,278.0,0.12182943
279.0,279.0,0.5360536
280.0,280.0,0.06755472
281.0,281.0,0.03483901
282.0,282.0,0.021704387
283.0,283.0,0.02278601
284.0,284.0,0.004102604
285.0,285.0,0.021406189
286.0,286.0,0.013560313
287.0,287.0,0.012580241
288.0,288.0,0.0130943945
289.0,289.0,0.018184677
290.0,290.0,0.014445502
291.0,291.0,0.036042668
292.0,292.0,0.23813836
293.0,293.0,0.013014103
294.0,294.0,0.34953752
295.0,295.0,0.5351193
296.0,296.0,0.30703625
297.0,297.0,0.30345672
298.0,298.0,0.45193267
299.0,299.0,0.023284169
300.0,300.0,0.14187102
301.0,301.0,0.0031749979
302.0,302.0,0.0029306915
303.0,303.0,0.0049652522
304.0,304.0,0.0056585735
305.0,305.0,0.018758299
306.0,306.0,0.03173568
307.0,307.0,0.6266605
308.0,308.0,0.013773586
309.0,309.0,0.02250154
310.0,310.0,0.0026240041
311.0,311.0,0.0080713825
312.0,312.0,0.0026398224
313.0,313.0,0.015837394
314.0,314.0,0.01508607
315.0,315.0,0.011490613
316.0,316.0,0.011906019
317.0,317.0,0.0035121564
318.0,318.0,0.010957812
319.0,319.0,0.013942222
320.0,320.0,0.26988974
321.0,321.0,0.06577589
322.0,322.0,0.19399539
323.0,323.0,0.0064712795
324.0,324.0,0.43595544
325.0,325.0,0.52979594
326.0,326.0,0.498369
327.0,327.0,0.0138120605
328.0,328.0,0.0040398138
329.0,329.0,0.025732998
330.0,330.0,0.012555658
331.0,331.0,0.008330353
332.0,332.0,0.026652906
333.0,333.0,0.027538078
334.0,334.0,0.026067646
335.0,335.0,0.045337815
336.0,336.0,0.012856012
337.0,337.0,0.039048515
338.0,338.0,0.258256
339.0,339.0,0.10401751
340.0,340.0,0.3052657
341.0,341.0,0.058200356
342.0,342.0,0.020602375
343.0,343.0,0.2995985
344.0,344.0,0.054113686
345.0,345.0,0.21404831
346.0,346.0,0.016674727
347.0,347.0,0.005987253
348.0,348.0,0.08105545
349.0,349.0,0.082024895
350.0,350.0,0.031486455
351.0,351.0,0.0041220915
352.0,352.0,0.003954492
353.0,353.0,0.0026266677
354.0,354.0,0.0057392297
355.0,355.0,0.016124744
356.0,356.0,0.01885568
357.0,357.0,0.47915772
358.0,358.0,0.009721753
