Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.37637E-12,0.000000001,0.000000001,0.989927383,0,0
2.81052E-12,0.000000003,0.000000002,0.988287655,0,0
1.54132E-11,0.000000011,0.000000011,0.98641368,0,0
4.52106E-11,0.000000027,0.000000032,0.985008199,0,0
1.09806E-10,0.000000111,0.000000079,0.98266573,0,0
2.45306E-10,0.000000264,0.000000176,0.980791755,0,0
6.60605E-10,0.000001032,0.000000473,0.97657531,0,0
1.34355E-9,0.000002598,0.000000962,0.97282736,0,0
4.59863E-9,0.000010008,0.000003293,0.966736941,0,0
9.60209E-9,0.000025268,0.000006875,0.961349262,0,0
1.74568E-8,0.000050314,0.000012499,0.957132818,0,0
2.76693E-8,0.000101666,0.000019811,0.951745139,0,0
6.11506E-8,0.000251206,0.000043783,0.943780745,0,0
1.11211E-7,0.000501704,0.000079625,0.936753338,0,0
1.79642E-7,0.001017102,0.000128617,0.92832045,0,0
3.3485E-7,0.002528027,0.000239726,0.914031389,0,0
5.64301E-7,0.005033196,0.000403961,0.900679316,0,0
9.57624E-7,0.010009129,0.000685429,0.884750527,0,0
1.75926E-6,0.025110037,0.001258845,0.858514875,0,0
2.82175E-6,0.050108044,0.002018354,0.832279222,0,0
4.12914E-6,0.100213888,0.002952122,0.798547669,0,0
6.34611E-6,0.20000506,0.004533547,0.754040759,0,0
7.8917E-6,0.300065744,0.005634575,0.721246193,0,0
9.19139E-6,0.400501187,0.006559487,0.693839307,0,0
1.05558E-5,0.500159419,0.007529543,0.67018037,0,0
1.16781E-5,0.600921487,0.008326763,0.648863903,0,0
1.30102E-5,0.701297016,0.009272104,0.629655657,0,0
1.35188E-5,0.750527052,0.009632846,0.620988522,0,0
1.41566E-5,0.800301849,0.010085045,0.612555634,0,0
1.52341E-5,0.900778267,0.010848458,0.596626845,0,0
1.60004E-5,1.000800611,0.011390999,0.581635043,0,0
1.7055E-5,1.101358993,0.012137261,0.567345983,0,0
1.79023E-5,1.201101025,0.012736365,0.55399391,0,0
1.88937E-5,1.300567442,0.013436934,0.541344577,0,0
1.96531E-5,1.400828105,0.013973192,0.529163739,0,0
2.04655E-5,1.501382955,0.01454662,0.517451394,0,0
2.26694E-5,1.751295052,0.016100434,0.490278754,0,0
2.50491E-5,2.000616273,0.017775455,0.46568283,0,0
2.74231E-5,2.250120002,0.019443566,0.443429375,0,0
3.06532E-5,2.50079444,0.021708759,0.423284141,0,0
3.35311E-5,2.750646378,0.023722543,0.405012884,0,0
3.59719E-5,3.001376398,0.025427229,0.388147107,0,0
3.8945E-5,3.252550587,0.027499676,0.372452565,0.020408163,0
4.24768E-5,3.500940675,0.029955835,0.358163504,0.020408163,0
4.62255E-5,3.75446473,0.032556027,0.344811431,0.020408163,0
5.13111E-5,4.00445061,0.03607237,0.33286484,0.020408163,0
5.56809E-5,4.250580299,0.039083618,0.322089482,0.020408163,0
5.93345E-5,4.503537282,0.041594043,0.311782619,0.020408163,0
6.41368E-5,4.750889707,0.044883873,0.302412743,0.020408163,0
6.92168E-5,5.005489549,0.048351618,0.293511361,0.020408163,0
7.44359E-5,5.256300252,0.051901207,0.28531272,0.040816327,0
7.99104E-5,5.504259098,0.055610235,0.277816819,0.040816327,0
8.68607E-5,5.753230472,0.060298299,0.270789412,0.040816327,0
9.34389E-5,6.006864103,0.064713891,0.264230499,0.040816327,0
1.00493E-4,6.25897559,0.069425684,0.25814008,0.06122449,0
1.07404E-4,6.508146093,0.074019492,0.252518154,0.06122449,0
1.12386E-4,6.751613118,0.077316817,0.247364722,0.081632653,0
1.20139E-4,7.009465369,0.082424052,0.242211291,0.081632653,0
1.2402E-4,7.253804178,0.08497033,0.237526353,0.081632653,0
1.318E-4,7.509393548,0.090053862,0.232841415,0.081632653,0
1.37475E-4,7.751979143,0.093743797,0.228624971,0.081632653,0
1.47956E-4,8.010706425,0.100519301,0.224408527,0.081632653,0
1.55711E-4,8.25348428,0.105499692,0.220660576,0.081632653,0
1.62946E-4,8.50851494,0.110121609,0.216912626,0.081632653,0
1.7016E-4,8.758471093,0.114706389,0.213398922,0.081632653,0
1.76829E-4,9.00088274,0.118923139,0.210119466,0.081632653,0
1.84901E-4,9.254699547,0.124001162,0.206840009,0.081632653,0
1.92772E-4,9.500724498,0.128923918,0.2037948,0.081632653,0
2.02252E-4,9.757975199,0.134816697,0.20074959,0.081632653,0
2.06854E-4,10.003581171,0.137662605,0.197938627,0.081632653,0
2.13288E-4,10.255626013,0.141626345,0.195127665,0.081632653,0
2.19117E-4,10.515629309,0.145201287,0.192316702,0.081632653,0
2.24466E-4,10.760062511,0.148468805,0.189739986,0.081632653,0
2.28391E-4,11.008967785,0.150858646,0.18716327,0.081632653,0
2.35675E-4,11.264154175,0.155275701,0.184586554,0.081632653,0
2.44358E-4,11.503715236,0.160511005,0.182244085,0.081632653,0
2.5394E-4,11.754342427,0.1662506,0.179901616,0.081632653,0
2.58356E-4,12.010873629,0.168883082,0.177559147,0.081632653,0
2.65231E-4,12.273020211,0.172963818,0.175216678,0.081632653,0
2.70892E-4,12.515014787,0.176309224,0.173108456,0.102040816,0
2.76676E-4,12.762114645,0.179713348,0.171000234,0.102040816,0
2.82827E-4,13.014470927,0.183318531,0.168892012,0.163265306,0
2.90995E-4,13.272253015,0.188080641,0.16678379,0.163265306,0
2.94941E-4,13.506882372,0.190371551,0.164909815,0.163265306,0
3.0077E-4,13.774590167,0.193743363,0.162801593,0.163265306,0
3.07229E-4,14.017070686,0.1974632,0.160927618,0.163265306,0
3.1145E-4,14.265094724,0.199885528,0.159053643,0.163265306,0
3.17395E-4,14.517588537,0.203283804,0.157179667,0.163265306,0
3.25567E-4,14.774567623,0.20793195,0.155305692,0.163265306,0
3.33436E-4,15.005527049,0.212382006,0.153665964,0.163265306,0
3.38996E-4,15.274469135,0.215511592,0.151791989,0.163265306,0
3.46482E-4,15.51526854,0.219704902,0.15015226,0.163265306,0
3.50423E-4,15.759602572,0.221903653,0.148512532,0.163265306,0
3.56114E-4,16.007173658,0.225067831,0.146872804,0.163265306,0
3.59925E-4,16.258269412,0.227179797,0.145233076,0.163265306,0
3.65588E-4,16.513071704,0.230306732,0.143593347,0.163265306,0
3.72893E-4,16.771625496,0.234322099,0.141953619,0.163265306,0
3.79871E-4,17.035229295,0.23813836,0.140313891,0.163265306,0
3.83665E-4,17.264606553,0.240204744,0.138908409,0.163265306,0
3.91369E-4,17.536540077,0.244384315,0.137268681,0.163265306,0
3.98417E-4,17.77390471,0.248188058,0.1358632,0.163265306,0
4.04502E-4,18.014813154,0.251456313,0.134457718,0.163265306,0
4.10862E-4,18.259781464,0.254857569,0.133052237,0.183673469,0
4.17247E-4,18.50820034,0.258255992,0.131646756,0.183673469,0
4.25874E-4,18.761536094,0.262823719,0.130241274,0.183673469,0
4.29929E-4,19.01857206,0.264961183,0.128835793,0.183673469,0
4.33465E-4,19.277700242,0.266819884,0.127430312,0.183673469,0
4.38328E-4,19.53938297,0.269367904,0.12602483,0.183673469,0
4.41239E-4,19.759134237,0.270889416,0.124853596,0.183673469,0
4.52115E-4,20.026427195,0.276544945,0.123448114,0.183673469,0
4.56596E-4,20.253842126,0.278862563,0.12227688,0.183673469,0
4.65597E-4,20.530649426,0.283495038,0.120871398,0.183673469,0
4.70192E-4,20.765124676,0.285848488,0.119700164,0.183673469,0
4.76666E-4,21.001857008,0.289151322,0.118528929,0.183673469,0
4.82258E-4,21.289626757,0.291992062,0.117123448,0.183673469,0
4.86316E-4,21.531822567,0.294046078,0.115952214,0.183673469,0
4.93772E-4,21.776960981,0.297804981,0.114780979,0.183673469,0
5.03111E-4,22.026551408,0.302484309,0.113609745,0.183673469,0
5.07233E-4,22.279148334,0.304540349,0.11243851,0.183673469,0
5.15644E-4,22.535436114,0.308715698,0.111267276,0.204081633,0
5.19865E-4,22.79454922,0.310801684,0.110096041,0.204081633,0
5.21576E-4,23.002966056,0.311645869,0.109159054,0.204081633,0
5.27393E-4,23.264637763,0.314506654,0.107987819,0.204081633,0
5.33555E-4,23.529852952,0.317524512,0.106816585,0.204081633,0
5.39491E-4,23.798124835,0.320419247,0.10564535,0.204081633,0
5.47166E-4,24.016624593,0.324143395,0.104708363,0.204081633,0
5.57529E-4,24.293569055,0.329139782,0.103537128,0.204081633,0
5.60164E-4,24.517381667,0.330404315,0.102600141,0.204081633,0
5.64572E-4,24.798828729,0.332514085,0.101428906,0.204081633,0
5.70655E-4,25.02569857,0.335415214,0.100491918,0.204081633,0
5.79449E-4,25.256237269,0.339586385,0.099554931,0.204081633,0
5.84433E-4,25.547277639,0.341939034,0.098383696,0.204081633,0
5.92154E-4,25.783481888,0.345566826,0.097446709,0.204081633,0
6.00654E-4,26.022480079,0.349537509,0.096509721,0.204081633,0
6.03511E-4,26.26346332,0.350867197,0.095572734,0.204081633,0
6.0905E-4,26.506552903,0.353436481,0.094635746,0.204081633,0
6.17033E-4,26.752489785,0.357121378,0.093698758,0.204081633,0
6.20268E-4,27.061892887,0.358608965,0.092527524,0.204081633,0
6.2414E-4,27.310987153,0.360384407,0.091590536,0.204081633,0
6.25731E-4,27.561033888,0.361112821,0.090653549,0.204081633,0
6.33034E-4,27.75042932,0.364444641,0.089950808,0.204081633,0
6.38438E-4,28.004848138,0.366898941,0.089013821,0.204081633,0
6.47131E-4,28.2621143,0.370827696,0.088076833,0.204081633,0
6.54656E-4,28.523210234,0.374208475,0.087139845,0.204081633,0
6.58905E-4,28.785737747,0.376109274,0.086202858,0.204081633,0
6.73823E-4,29.052968706,0.382737625,0.08526587,0.204081633,0
6.79338E-4,29.256117641,0.385170524,0.08456313,0.204081633,0
6.85256E-4,29.529339636,0.387770305,0.083626142,0.204081633,0
7.06938E-4,29.806227111,0.3972012,0.082689154,0.204081633,0
7.1029E-4,30.018858485,0.39864648,0.081986414,0.204081633,0
7.14362E-4,30.30390763,0.40039724,0.081049426,0.244897959,0
7.19912E-4,30.519482744,0.402774971,0.080346685,0.244897959,0
7.26589E-4,30.808880263,0.405623426,0.079409698,0.244897959,0
7.38006E-4,31.028340887,0.41046242,0.078706957,0.244897959,0
7.41914E-4,31.250713076,0.412109744,0.078004216,0.244897959,0
7.43167E-4,31.547789444,0.412637098,0.077067229,0.244897959,0
7.46529E-4,31.771322198,0.414049311,0.076364488,0.265306122,0
7.52664E-4,32.071228288,0.416617563,0.075427501,0.265306122,0
7.53978E-4,32.297271811,0.417165874,0.07472476,0.265306122,0
7.59368E-4,32.524566563,0.419411125,0.074022019,0.265306122,0
7.67332E-4,32.754134185,0.422712136,0.073319279,0.265306122,0
7.75389E-4,33.063533312,0.426033117,0.072382291,0.265306122,0
7.81359E-4,33.297254647,0.428481078,0.07167955,0.265306122,0
7.84214E-4,33.532056382,0.429648392,0.07097681,0.265306122,0
7.98375E-4,33.76942339,0.435402241,0.070274069,0.265306122,0
8.00396E-4,34.009440311,0.436218577,0.069571328,0.265306122,0
8.04113E-4,34.330328592,0.437716731,0.068634341,0.265306122,0
8.07577E-4,34.57242146,0.439109869,0.0679316,0.265306122,0
8.17838E-4,34.817125469,0.443215556,0.067228859,0.265306122,0
8.3611E-4,35.065707059,0.450452439,0.066526119,0.265306122,0
8.43088E-4,35.31811352,0.453191184,0.065823378,0.265306122,0
8.5361E-4,35.572569718,0.457295235,0.065120637,0.265306122,0
8.6048E-4,35.830126115,0.459958509,0.064417896,0.265306122,0
8.63638E-4,36.00260233,0.461178197,0.063949403,0.265306122,0
8.82404E-4,36.264199107,0.468369609,0.063246662,0.285714286,0
8.85002E-4,36.529330384,0.469357575,0.062543921,0.285714286,0
8.98484E-4,36.797976054,0.474455318,0.061841181,0.285714286,0
9.02943E-4,37.068180806,0.476130556,0.06113844,0.285714286,0
9.05694E-4,37.339689844,0.477161275,0.060435699,0.285714286,0
9.09935E-4,37.521493118,0.478746615,0.059967205,0.285714286,0
9.14975E-4,37.79513068,0.480624472,0.059264465,0.285714286,0
9.20848E-4,38.07049396,0.482803881,0.058561724,0.285714286,0
9.30792E-4,38.256425686,0.486473223,0.05809323,0.285714286,0
9.37647E-4,38.537213434,0.488987283,0.05739049,0.285714286,0
