X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,2.790943556103788E-4,12.861332208061134,0.1811327372841185
2.0,2.0,train,2.790943556103788E-4,12.861332208061134,0.1811327372841185
3.0,3.0,train,0.004871828564608675,77.75820904581846,0.9694459890851889
4.0,4.0,train,7.295179633790367E-5,5.184979701940554,0.05089318966136369
5.0,5.0,train,8.692412036876575E-4,36.080710612295945,0.4633354560884987
6.0,6.0,train,0.004573666956134496,76.8121994594298,0.9621745741317415
7.0,7.0,train,0.0057915471249472324,80.48224881588038,0.9841847952500785
8.0,8.0,train,0.0034894967808944276,73.4410898270225,0.9177918822388745
9.0,9.0,train,0.003610004347372858,73.80232063488312,0.9245877376622742
10.0,10.0,train,0.0022195354492695425,61.96483024024316,0.7959114021793227
11.0,11.0,train,0.0017147854162279236,55.31744258911628,0.7070627739183973
12.0,12.0,train,7.136257588174552E-4,30.252369093752908,0.40008088815024734
13.0,13.0,train,5.152905201598719E-4,22.5246653895319,0.3085408415072688
14.0,14.0,train,0.012573982880629666,94.55720488746883,0.9998769659393351
15.0,15.0,train,0.0045881634751147385,77.27103462326002,0.962565156260716
16.0,16.0,train,0.002390858190155995,64.02821368728642,0.8194719688301239
17.0,17.0,train,0.0032625685016965307,71.75009331053884,0.9032881342772958
18.0,18.0,train,0.005084904228888296,78.26671856512425,0.9737692476347026
19.0,19.0,train,0.011065623531462808,89.82241507883987,0.9996377060736165
20.0,20.0,train,0.03806174002125764,100.0,0.9999999999985398
21.0,21.0,train,0.01636588456242866,96.19381933512622,0.9999918547394334
22.0,22.0,train,0.007476541750898071,84.34990685352872,0.9952672555581086
23.0,23.0,train,4.091463045208913E-4,18.193697969976114,0.25394151109990937
24.0,24.0,train,0.004465312793534404,76.35485740297082,0.9591231549312333
25.0,25.0,train,0.0015452630346182014,52.37078100230205,0.669258398029047
26.0,26.0,train,0.003621918292962798,74.16432849929814,0.9252283027988893
27.0,27.0,train,0.0010705858271454732,41.88820103566667,0.5353849463376659
28.0,28.0,train,2.766755819588898E-4,12.762096785750526,0.17971334766394165
29.0,29.0,train,0.009699667747630532,88.71497234760403,0.9990365808196855
30.0,30.0,train,0.005612493786435411,79.90311564991114,0.9820215269883839
31.0,31.0,train,0.002560899732715112,65.51805881729278,0.8401660810748175
32.0,32.0,train,0.001492879299358259,51.48624559087947,0.6566176705657056
33.0,33.0,train,7.434776213223062E-4,31.568442043531896,0.41276756364285494
34.0,34.0,train,0.0028174986623654787,68.72238626862432,0.8669920564271608
35.0,35.0,train,0.001398281207431767,50.05111620333687,0.6325536553796021
36.0,36.0,train,0.011914784551371516,93.29970972051645,0.999802754074287
37.0,37.0,train,0.011095473937045325,90.93012209201963,0.9996453672456842
38.0,38.0,train,0.0029715155247967287,70.19044395307665,0.8808799475422041
39.0,39.0,train,7.117983001889911E-4,30.12444288560787,0.3992953972137341
40.0,40.0,train,0.0022601597574528356,62.63909434729611,0.8017622739168437
41.0,41.0,train,2.6993500627428633E-4,12.47410553229434,0.17574483439371924
42.0,42.0,train,0.0016966017372728823,54.80427408809589,0.7032239046029881
43.0,43.0,train,0.001781601276917858,56.29779504414524,0.7207471141748849
44.0,44.0,train,1.1224077312766102E-4,6.74451597738209,0.07722060904142325
45.0,45.0,train,0.0012333772405744544,46.61564662139075,0.5865032872140414
46.0,46.0,train,0.0017081066558163117,55.05879347998329,0.7056585834749949
47.0,47.0,train,0.005883314700744471,81.07061136823287,0.9851905475973987
48.0,48.0,train,9.655584852337472E-5,6.118262938731058,0.06679892165385537
49.0,49.0,train,3.767454255547275E-5,3.1452194786322543,0.026614623610959454
