x,y,species cloglog values
1.0,1.0,0.35594156
2.0,2.0,0.39276984
3.0,3.0,0.83692044
4.0,4.0,0.67102545
5.0,5.0,0.7614515
6.0,6.0,0.030593518
7.0,7.0,0.26584354
8.0,8.0,0.14709412
9.0,9.0,0.44267645
10.0,10.0,0.6022502
11.0,11.0,0.58959866
12.0,12.0,0.7314294
13.0,13.0,0.039098106
14.0,14.0,0.040452164
15.0,15.0,0.033922166
16.0,16.0,0.26201403
17.0,17.0,0.101074755
18.0,18.0,0.03613909
19.0,19.0,0.40554088
20.0,20.0,0.42501107
21.0,21.0,0.49627572
22.0,22.0,0.71305573
23.0,23.0,0.642266
24.0,24.0,0.023871219
25.0,25.0,0.13120407
26.0,26.0,0.29305017
27.0,27.0,0.25631702
28.0,28.0,0.40333015
29.0,29.0,0.2873346
30.0,30.0,0.016687673
31.0,31.0,0.02014706
32.0,32.0,0.019266091
33.0,33.0,0.020322457
34.0,34.0,0.022227984
35.0,35.0,0.04539115
36.0,36.0,0.5977683
37.0,37.0,0.11152681
38.0,38.0,0.37450457
39.0,39.0,0.44228724
40.0,40.0,0.37547216
41.0,41.0,0.5529803
42.0,42.0,0.020950736
43.0,43.0,0.21087737
44.0,44.0,0.3057781
45.0,45.0,0.571358
46.0,46.0,0.6475346
47.0,47.0,0.49060795
48.0,48.0,0.4860135
49.0,49.0,0.4779645
50.0,50.0,0.45992866
51.0,51.0,0.5341324
52.0,52.0,0.047304474
53.0,53.0,0.04032126
54.0,54.0,0.021566039
55.0,55.0,0.08189068
56.0,56.0,0.6154071
57.0,57.0,0.024675911
58.0,58.0,0.08473409
59.0,59.0,0.4059253
60.0,60.0,0.11693161
61.0,61.0,0.16603996
62.0,62.0,0.17252775
63.0,63.0,0.37922394
64.0,64.0,0.41281962
65.0,65.0,0.48621288
66.0,66.0,0.5728348
67.0,67.0,0.22612992
68.0,68.0,0.531319
69.0,69.0,0.28217098
70.0,70.0,0.5434842
71.0,71.0,0.45903724
72.0,72.0,0.5256711
73.0,73.0,0.21153642
74.0,74.0,0.07758395
75.0,75.0,0.09825568
76.0,76.0,0.2476581
77.0,77.0,0.5190471
78.0,78.0,0.5734883
79.0,79.0,0.5515606
80.0,80.0,0.53101724
81.0,81.0,0.28624773
82.0,82.0,0.0204503
83.0,83.0,0.056718707
84.0,84.0,0.61485195
85.0,85.0,0.035631064
86.0,86.0,0.1422981
87.0,87.0,0.028698303
88.0,88.0,0.5390095
89.0,89.0,0.0740865
90.0,90.0,0.11296892
91.0,91.0,0.656763
92.0,92.0,0.06497836
93.0,93.0,0.01656667
94.0,94.0,0.026600055
95.0,95.0,0.03753284
96.0,96.0,0.01417645
97.0,97.0,0.011373676
98.0,98.0,0.025730925
99.0,99.0,0.3380616
100.0,100.0,0.39934486
101.0,101.0,0.6133504
102.0,102.0,0.024999421
103.0,103.0,0.14263698
104.0,104.0,0.48780298
105.0,105.0,0.46317253
106.0,106.0,0.39651746
107.0,107.0,0.406667
108.0,108.0,0.3857683
109.0,109.0,0.2791312
110.0,110.0,0.01679213
111.0,111.0,0.014539081
112.0,112.0,0.013851509
113.0,113.0,0.027849976
114.0,114.0,0.034367923
115.0,115.0,0.23509768
116.0,116.0,0.022104781
117.0,117.0,0.031799316
118.0,118.0,0.5494395
119.0,119.0,0.602434
120.0,120.0,0.06571344
121.0,121.0,0.13073452
122.0,122.0,0.10663291
123.0,123.0,0.3393857
124.0,124.0,0.18253644
125.0,125.0,0.015672263
126.0,126.0,0.008136389
127.0,127.0,0.0068292944
128.0,128.0,0.008552162
129.0,129.0,0.019595217
130.0,130.0,0.016419305
131.0,131.0,0.022274747
132.0,132.0,0.17745459
133.0,133.0,0.5892171
134.0,134.0,0.7855186
135.0,135.0,0.7316094
136.0,136.0,0.91906315
137.0,137.0,0.55707175
138.0,138.0,0.50595665
139.0,139.0,0.25321203
140.0,140.0,0.50339395
141.0,141.0,0.032392476
142.0,142.0,0.009316125
143.0,143.0,0.1625432
144.0,144.0,0.03399971
145.0,145.0,0.19897401
146.0,146.0,0.35140026
147.0,147.0,0.031819962
148.0,148.0,0.3109812
149.0,149.0,0.025032707
150.0,150.0,0.012356271
151.0,151.0,0.023344483
152.0,152.0,0.102147065
153.0,153.0,0.12281327
154.0,154.0,0.38536125
155.0,155.0,0.044739846
156.0,156.0,0.019507615
157.0,157.0,0.028973885
158.0,158.0,0.1466649
159.0,159.0,0.30244985
160.0,160.0,0.13926561
161.0,161.0,0.05869646
162.0,162.0,0.094142966
163.0,163.0,0.021717163
164.0,164.0,0.02832292
165.0,165.0,0.011538857
166.0,166.0,0.041448306
167.0,167.0,0.015333579
168.0,168.0,0.0850949
169.0,169.0,0.172297
170.0,170.0,0.011001294
171.0,171.0,0.0726374
172.0,172.0,0.36551106
173.0,173.0,0.7778679
174.0,174.0,0.5899684
175.0,175.0,0.1756294
176.0,176.0,0.13490008
177.0,177.0,0.08514395
178.0,178.0,0.04136716
179.0,179.0,0.011170009
180.0,180.0,0.022279818
181.0,181.0,0.01848786
182.0,182.0,0.008387983
183.0,183.0,0.18447034
184.0,184.0,0.021516329
185.0,185.0,0.056181677
186.0,186.0,0.11639532
187.0,187.0,0.18159372
188.0,188.0,0.02105201
189.0,189.0,0.28994265
190.0,190.0,0.046937022
191.0,191.0,0.4482416
192.0,192.0,0.022135263
193.0,193.0,0.011006293
194.0,194.0,0.013520992
195.0,195.0,0.017870484
196.0,196.0,0.02285428
197.0,197.0,0.021429576
198.0,198.0,0.026704744
199.0,199.0,0.029078871
200.0,200.0,0.27062467
201.0,201.0,0.027217302
202.0,202.0,0.024937967
203.0,203.0,0.026706703
204.0,204.0,0.026925666
205.0,205.0,0.1847896
206.0,206.0,0.1438918
207.0,207.0,0.32246554
208.0,208.0,0.33911026
209.0,209.0,0.41640162
210.0,210.0,0.06504243
211.0,211.0,0.05900344
212.0,212.0,0.015442081
213.0,213.0,0.01864682
214.0,214.0,0.36041102
215.0,215.0,0.053649865
216.0,216.0,0.76468927
217.0,217.0,0.03014825
218.0,218.0,0.1289613
219.0,219.0,0.24524254
220.0,220.0,0.28431267
221.0,221.0,0.005243409
222.0,222.0,0.006768917
223.0,223.0,0.007668241
224.0,224.0,0.033814684
225.0,225.0,0.007839816
226.0,226.0,0.009653604
227.0,227.0,0.045997825
228.0,228.0,0.20635378
229.0,229.0,0.10462621
230.0,230.0,0.08035976
231.0,231.0,0.3816381
232.0,232.0,0.4287588
233.0,233.0,0.19244845
234.0,234.0,0.18690948
235.0,235.0,0.39850885
236.0,236.0,0.01430746
237.0,237.0,0.021823192
238.0,238.0,0.017990548
239.0,239.0,0.01800391
240.0,240.0,0.02390907
241.0,241.0,0.016269973
242.0,242.0,0.04258202
243.0,243.0,0.3182325
244.0,244.0,0.36087948
245.0,245.0,0.40255624
246.0,246.0,0.5450868
247.0,247.0,0.28396088
248.0,248.0,0.52892554
249.0,249.0,0.22936496
250.0,250.0,0.52661246
251.0,251.0,0.36953142
252.0,252.0,0.27359155
253.0,253.0,0.2802535
254.0,254.0,0.039068665
255.0,255.0,0.12309289
256.0,256.0,0.03657539
257.0,257.0,0.012779623
258.0,258.0,0.01306801
259.0,259.0,0.018351022
260.0,260.0,0.07069137
261.0,261.0,0.2632293
262.0,262.0,0.4891429
263.0,263.0,0.017588144
264.0,264.0,0.050123468
265.0,265.0,0.025138486
266.0,266.0,0.01417585
267.0,267.0,0.018009033
268.0,268.0,0.007900231
269.0,269.0,0.012804082
270.0,270.0,0.0140201105
271.0,271.0,0.02060474
272.0,272.0,0.22968702
273.0,273.0,0.12957753
274.0,274.0,0.181731
275.0,275.0,0.49761343
276.0,276.0,0.0403427
277.0,277.0,0.394263
