X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.002446739958275928,69.41131685962277,0.8477270677785054
2.0,2.0,train,3.0875915084412476E-4,14.880278747398961,0.21140598322726056
3.0,3.0,train,3.0875915084412476E-4,14.880278747398961,0.21140598322726056
4.0,4.0,train,0.004095343887978647,77.94382464482577,0.9571572784169526
5.0,5.0,train,0.0012360218773330668,50.290516503363634,0.6135576074468712
6.0,6.0,train,0.0027277994480645173,70.6973795443963,0.877332431701379
7.0,7.0,train,0.01132588177246811,90.08162937171656,0.9998354164534925
8.0,8.0,train,9.766168233261892E-4,41.723629732528764,0.5282155038722189
9.0,9.0,train,0.004791584189778119,81.44098465986016,0.974922426419817
10.0,10.0,train,0.0018895467672936537,63.35763867447291,0.7662438358046757
11.0,11.0,train,0.0019346790011879598,64.1288928463105,0.7742198062695008
12.0,12.0,train,0.0014261594521005824,55.335189444763515,0.6661388375378402
13.0,13.0,train,0.0023925691849432753,68.44138960393684,0.8412479188175395
14.0,14.0,train,9.92592725256008E-4,42.64721864665224,0.5339777752311041
15.0,15.0,train,5.925719980617258E-4,25.915089204112153,0.3660708612722965
16.0,16.0,train,0.020084588081290784,96.08808826814293,0.9999998048431683
17.0,17.0,train,0.0033902571104772444,75.63380685480503,0.926307394235163
18.0,18.0,train,7.980554823751206E-4,34.517288595123254,0.4587532796304662
19.0,19.0,train,6.383870449913884E-4,28.003459398410747,0.388022608702699
20.0,20.0,train,0.0038203982340552327,76.72926745785843,0.9470668706375438
21.0,21.0,train,0.00425159880244759,79.62798053785352,0.9620092996426431
22.0,22.0,train,4.654595626207901E-4,20.709307100364263,0.30095537689651575
23.0,23.0,train,0.03911904577930949,100.0,0.9999999999999146
24.0,24.0,train,0.01673838090782978,94.07963008572705,0.999997439975183
25.0,25.0,train,0.006214941724460657,84.336786005978,0.9916095076602266
26.0,26.0,train,0.004374926668711251,80.5005959460807,0.9654476637013234
27.0,27.0,train,0.0022821319577304025,67.25842908637837,0.8271724551680697
28.0,28.0,train,0.0017020042272993113,60.42115396334672,0.7299681353559759
29.0,29.0,train,0.0027810971651634655,70.97547543433802,0.8822598188982217
30.0,30.0,train,6.24021498239516E-4,27.337269281088798,0.3812225960255936
31.0,31.0,train,6.109600647040746E-4,26.55326288452477,0.37497433360418075
32.0,32.0,train,0.011187876865744887,88.94918022967606,0.9998169838452697
33.0,33.0,train,0.0013132607027732306,51.864647757753275,0.6358487963867101
34.0,34.0,train,0.004120757999142417,78.35580498271324,0.9579866789567846
35.0,35.0,train,0.0011140028028248168,47.260091735605116,0.5755295920290479
36.0,36.0,train,0.0056837731333916185,82.53456509840025,0.9873749291767527
37.0,37.0,train,6.555226325550689E-4,28.96574666957552,0.3960361732315101
38.0,38.0,train,0.0013749044385096651,54.63406862076141,0.6527129764110373
39.0,39.0,train,0.0011333493207509337,47.79124665102682,0.5817996730369057
40.0,40.0,train,1.1883973970051653E-4,7.027408319700352,0.08736008876815116
41.0,41.0,train,9.706302053703707E-4,41.33142748825901,0.5260379144318739
42.0,42.0,train,0.002084020333671033,65.93092387055823,0.7987222840894436
43.0,43.0,train,7.608095459990344E-4,33.03462486818748,0.44302211756976506
44.0,44.0,train,0.0014906312768870912,56.64062702964432,0.6822921586104549
45.0,45.0,train,0.00609739720333981,83.7152654506192,0.9908155046836639
46.0,46.0,train,2.992597870387277E-4,14.468595774829906,0.20562254473042074
47.0,47.0,train,2.8933654626339104E-5,2.20624079346929,0.022010494246391676
