x,y,species cloglog values
228.0,228.0,0.3796087
229.0,229.0,0.533481
230.0,230.0,0.61168474
231.0,231.0,0.102244176
232.0,232.0,0.23756303
233.0,233.0,0.53514236
234.0,234.0,0.5164465
235.0,235.0,0.41584986
236.0,236.0,0.2733697
237.0,237.0,0.11441442
238.0,238.0,0.028770648
239.0,239.0,0.019019244
240.0,240.0,0.022168916
241.0,241.0,0.104590684
242.0,242.0,0.23573954
243.0,243.0,0.47073793
244.0,244.0,0.030431384
245.0,245.0,0.02636921
246.0,246.0,0.042791396
247.0,247.0,0.0038914774
248.0,248.0,0.03159853
249.0,249.0,0.015594491
250.0,250.0,0.015069369
251.0,251.0,0.018380923
252.0,252.0,0.01128918
253.0,253.0,0.007063969
254.0,254.0,0.020701043
255.0,255.0,0.0138534615
256.0,256.0,0.035377294
257.0,257.0,0.034407258
258.0,258.0,0.33160526
259.0,259.0,0.045494545
260.0,260.0,0.16049321
261.0,261.0,0.2587579
262.0,262.0,0.07463521
263.0,263.0,0.51711047
264.0,264.0,0.18507895
265.0,265.0,0.09371065
266.0,266.0,0.016244126
267.0,267.0,0.013010864
268.0,268.0,0.008063229
269.0,269.0,0.013972214
270.0,270.0,0.028899048
271.0,271.0,0.033953406
272.0,272.0,0.07822748
273.0,273.0,0.29672948
274.0,274.0,0.029428221
275.0,275.0,0.32626548
276.0,276.0,0.24079573
277.0,277.0,0.2178673
278.0,278.0,0.37183446
279.0,279.0,0.3610568
280.0,280.0,0.32328773
281.0,281.0,0.12128209
282.0,282.0,0.3270638
283.0,283.0,0.2179871
284.0,284.0,0.08616249
285.0,285.0,0.022560192
286.0,286.0,0.009470996
287.0,287.0,0.019798936
288.0,288.0,0.03172496
289.0,289.0,0.079206616
290.0,290.0,0.05704207
291.0,291.0,0.4908308
292.0,292.0,0.037395373
293.0,293.0,0.044122625
294.0,294.0,0.0528511
295.0,295.0,0.009673867
296.0,296.0,0.0266397
297.0,297.0,0.027142003
298.0,298.0,0.024140017
299.0,299.0,0.011884765
300.0,300.0,0.015377521
301.0,301.0,0.010336566
302.0,302.0,0.009327794
303.0,303.0,0.02491526
304.0,304.0,0.0390768
305.0,305.0,0.37529823
306.0,306.0,0.089983694
307.0,307.0,0.5498486
308.0,308.0,0.45345613
309.0,309.0,0.61763376
310.0,310.0,0.7198964
311.0,311.0,0.65582705
312.0,312.0,0.04278978
313.0,313.0,0.016886879
314.0,314.0,0.019000191
315.0,315.0,0.010045456
316.0,316.0,0.01350679
317.0,317.0,0.02313598
318.0,318.0,0.024683848
319.0,319.0,0.017471958
320.0,320.0,0.021673521
321.0,321.0,0.023405282
322.0,322.0,0.046681363
323.0,323.0,0.30653262
324.0,324.0,0.24776274
325.0,325.0,0.14314668
326.0,326.0,0.07987715
327.0,327.0,0.042967446
328.0,328.0,0.3776569
329.0,329.0,0.0914094
330.0,330.0,0.08447512
331.0,331.0,0.2811045
332.0,332.0,0.04026702
333.0,333.0,0.013717961
334.0,334.0,0.0898658
335.0,335.0,0.19297132
336.0,336.0,0.05382248
337.0,337.0,0.013339399
338.0,338.0,0.009301439
339.0,339.0,0.018194351
340.0,340.0,0.045231704
341.0,341.0,0.031032545
342.0,342.0,0.6583894
343.0,343.0,0.025549632
344.0,344.0,0.021175828
345.0,345.0,0.002942407
346.0,346.0,0.007280898
347.0,347.0,0.008710823
348.0,348.0,0.006515422
349.0,349.0,0.015811553
350.0,350.0,0.03269414
351.0,351.0,0.096840575
352.0,352.0,0.5311559
353.0,353.0,0.37583822
354.0,354.0,0.55499476
355.0,355.0,0.5217889
356.0,356.0,0.61072445
357.0,357.0,0.31148484
358.0,358.0,0.039435778
359.0,359.0,0.030094815
360.0,360.0,0.022126416
361.0,361.0,0.014975804
362.0,362.0,0.029540803
363.0,363.0,0.046226118
364.0,364.0,0.02683057
365.0,365.0,0.031201847
366.0,366.0,0.041846234
367.0,367.0,0.074376754
368.0,368.0,0.21665107
369.0,369.0,0.7992731
370.0,370.0,0.35138243
371.0,371.0,0.21274194
372.0,372.0,0.28611672
373.0,373.0,0.42014495
374.0,374.0,0.027616281
375.0,375.0,0.081670366
376.0,376.0,0.17090698
377.0,377.0,0.1420438
378.0,378.0,0.038859375
379.0,379.0,0.037314523
380.0,380.0,0.1068404
381.0,381.0,0.06428584
382.0,382.0,0.03540801
383.0,383.0,0.029103646
384.0,384.0,0.014773933
385.0,385.0,0.0065391553
386.0,386.0,0.013898116
387.0,387.0,0.008815901
388.0,388.0,0.40073377
389.0,389.0,0.038707636
390.0,390.0,0.029953169
391.0,391.0,0.015795356
392.0,392.0,0.0052886023
393.0,393.0,0.016726796
394.0,394.0,0.0052990573
395.0,395.0,0.004671582
396.0,396.0,0.0047879172
397.0,397.0,0.013799194
398.0,398.0,0.014467531
399.0,399.0,0.027023975
400.0,400.0,0.039385464
401.0,401.0,0.057461064
402.0,402.0,0.37049094
403.0,403.0,0.42256957
404.0,404.0,0.5794148
405.0,405.0,0.37778646
406.0,406.0,0.5920382
407.0,407.0,0.2086277
408.0,408.0,0.026371408
409.0,409.0,0.037346948
410.0,410.0,0.04141642
411.0,411.0,0.030586272
412.0,412.0,0.045222577
413.0,413.0,0.07958438
414.0,414.0,0.5043888
415.0,415.0,0.51802105
416.0,416.0,0.62132144
417.0,417.0,0.5431565
418.0,418.0,0.13727544
419.0,419.0,0.047448985
420.0,420.0,0.09457185
421.0,421.0,0.066207305
422.0,422.0,0.20247547
423.0,423.0,0.39494243
424.0,424.0,0.1377266
425.0,425.0,0.09358123
426.0,426.0,0.06777431
427.0,427.0,0.15517473
428.0,428.0,0.016836287
429.0,429.0,0.018879253
430.0,430.0,0.03449403
431.0,431.0,0.21764655
432.0,432.0,0.36648017
433.0,433.0,0.028050726
434.0,434.0,0.034336407
435.0,435.0,0.007440598
436.0,436.0,0.010107996
437.0,437.0,0.019464565
438.0,438.0,0.027576154
439.0,439.0,0.038430806
440.0,440.0,0.22305056
441.0,441.0,0.049927875
442.0,442.0,0.033893015
443.0,443.0,0.04452591
444.0,444.0,0.015224215
445.0,445.0,0.027082106
446.0,446.0,0.014550771
447.0,447.0,0.010608952
448.0,448.0,0.008938191
449.0,449.0,0.007894601
450.0,450.0,0.028002946
451.0,451.0,0.035734273
452.0,452.0,0.37139744
453.0,453.0,0.29238617
454.0,454.0,0.20074509
455.0,455.0,0.69395214
456.0,456.0,0.20012535
457.0,457.0,0.42952433
458.0,458.0,0.5184608
459.0,459.0,0.059246983
460.0,460.0,0.15864538
461.0,461.0,0.46435866
462.0,462.0,0.13378349
463.0,463.0,0.24328938
464.0,464.0,0.23010142
465.0,465.0,0.26953655
466.0,466.0,0.2492806
467.0,467.0,0.050891113
468.0,468.0,0.50370634
469.0,469.0,0.197768
470.0,470.0,0.39716557
471.0,471.0,0.45034876
472.0,472.0,0.2688896
473.0,473.0,0.27862248
474.0,474.0,0.1451272
475.0,475.0,0.2644474
476.0,476.0,0.09635628
477.0,477.0,0.09691544
478.0,478.0,0.06335755
479.0,479.0,0.093640245
480.0,480.0,0.020382242
481.0,481.0,0.011455938
482.0,482.0,0.046045
483.0,483.0,0.15992495
484.0,484.0,0.09553732
485.0,485.0,0.025963848
486.0,486.0,0.029005995
487.0,487.0,0.020775702
488.0,488.0,0.016437074
489.0,489.0,0.020710148
490.0,490.0,0.02701412
491.0,491.0,0.07997076
492.0,492.0,0.7647702
493.0,493.0,0.05696761
494.0,494.0,0.030186376
495.0,495.0,0.031312812
496.0,496.0,0.029161852
497.0,497.0,0.011655375
498.0,498.0,0.017055724
499.0,499.0,0.021014199
500.0,500.0,0.042820733
501.0,501.0,0.07127317
502.0,502.0,0.6439113
503.0,503.0,0.5444574
504.0,504.0,0.44461116
505.0,505.0,0.19898248
506.0,506.0,0.4348301
507.0,507.0,0.3532903
508.0,508.0,0.38506946
509.0,509.0,0.59763986
510.0,510.0,0.18922162
511.0,511.0,0.08661572
512.0,512.0,0.57895947
513.0,513.0,0.24810013
514.0,514.0,0.43070745
515.0,515.0,0.057308268
516.0,516.0,0.13354899
517.0,517.0,0.037610337
518.0,518.0,0.1402203
519.0,519.0,0.44725108
520.0,520.0,0.47308737
521.0,521.0,0.24744081
522.0,522.0,0.030450953
523.0,523.0,0.024880573
524.0,524.0,0.15858024
525.0,525.0,0.0031302113
526.0,526.0,4.0797816E-4
527.0,527.0,0.013044246
528.0,528.0,0.019206608
529.0,529.0,0.025370533
530.0,530.0,0.0703918
531.0,531.0,0.14497653
532.0,532.0,0.043642923
533.0,533.0,0.033578068
534.0,534.0,0.039262112
535.0,535.0,0.029154012
536.0,536.0,0.009080636
537.0,537.0,0.0065621557
538.0,538.0,0.01088449
539.0,539.0,0.029152077
540.0,540.0,0.1391961
541.0,541.0,0.4832175
542.0,542.0,0.3206607
543.0,543.0,0.25762838
544.0,544.0,0.04342244
545.0,545.0,0.041304857
546.0,546.0,0.027913319
547.0,547.0,0.015488111
548.0,548.0,0.03927663
549.0,549.0,0.044536117
550.0,550.0,0.034895062
551.0,551.0,0.082854435
552.0,552.0,0.07479954
553.0,553.0,0.11072948
554.0,554.0,0.75924
555.0,555.0,0.0580018
556.0,556.0,0.038737424
557.0,557.0,0.1955162
558.0,558.0,0.08210045
559.0,559.0,0.05600264
560.0,560.0,0.037970446
561.0,561.0,0.07755216
562.0,562.0,0.26637533
563.0,563.0,0.17175184
564.0,564.0,0.05505905
565.0,565.0,0.020409504
566.0,566.0,0.030546417
567.0,567.0,0.49904317
568.0,568.0,0.41884002
569.0,569.0,0.5899625
570.0,570.0,0.47856635
571.0,571.0,0.42174947
572.0,572.0,0.28148228
573.0,573.0,0.3973975
574.0,574.0,0.29803628
575.0,575.0,0.2595963
576.0,576.0,0.0954226
577.0,577.0,0.021769831
578.0,578.0,5.8735674E-4
579.0,579.0,4.1983256E-4
580.0,580.0,0.0029947406
581.0,581.0,0.006950034
582.0,582.0,0.022542436
583.0,583.0,0.047291074
584.0,584.0,0.32947505
585.0,585.0,0.07861318
586.0,586.0,0.06427423
587.0,587.0,0.043054897
588.0,588.0,0.015848301
589.0,589.0,0.008242955
590.0,590.0,0.009768207
591.0,591.0,0.014530838
592.0,592.0,0.053078506
593.0,593.0,0.06288506
594.0,594.0,0.046797253
595.0,595.0,0.04230921
596.0,596.0,0.55090135
597.0,597.0,0.068183444
598.0,598.0,0.03969929
599.0,599.0,0.0363391
600.0,600.0,0.03678817
601.0,601.0,0.06599866
602.0,602.0,0.21248451
603.0,603.0,0.30592293
604.0,604.0,0.1259661
605.0,605.0,0.46690214
