X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.002092423607498895,67.28122055220679,0.8193301045072855
2.0,2.0,train,2.7324076371441615E-4,14.056241351896292,0.2002396787890809
3.0,3.0,train,0.003746261446221341,77.06593835090084,0.9532767312268997
4.0,4.0,train,1.2248990445960336E-4,7.951206678627885,0.09531310768159873
5.0,5.0,train,0.0015636009614000937,59.51055096435473,0.721583724580092
6.0,6.0,train,0.007129416953089464,87.51923214744035,0.9970622030908566
7.0,7.0,train,0.004418967135296752,79.90399933646319,0.9730458885296018
8.0,8.0,train,0.0017503359226255415,62.622210295631135,0.7610117255258538
9.0,9.0,train,0.0012047235110291446,50.51182286333736,0.6266224305966568
10.0,10.0,train,8.485036905126051E-4,39.25920585665106,0.5003590969104266
11.0,11.0,train,8.040119320612033E-4,36.849080737425396,0.4818458041954724
12.0,12.0,train,0.020141529252531216,96.83559335749705,0.9999999297198781
13.0,13.0,train,0.0034318152568719377,75.60084995222425,0.939576305731672
14.0,14.0,train,7.973356892941159E-4,36.408653165693416,0.4790091993629868
15.0,15.0,train,0.002475923951040838,71.77480178090195,0.8679654814970859
16.0,16.0,train,0.006966713708339614,86.8063200517243,0.9966441306359416
17.0,17.0,train,4.6156111122609705E-4,21.608248498993675,0.31438740763196715
18.0,18.0,train,0.01805898454492368,94.8214169401998,0.9999996141324394
19.0,19.0,train,0.0316441468976033,100.0,0.9999999999942226
20.0,20.0,train,0.01625191116481892,93.01554508739541,0.9999983087348041
21.0,21.0,train,0.005686976793645742,82.9659150859215,0.9904435306184401
22.0,22.0,train,4.5874989851074546E-4,21.529095971898343,0.3128094569495983
23.0,23.0,train,0.004287794334405955,79.02154546173104,0.9699938406648948
24.0,24.0,train,5.734017831499654E-4,26.94065855209037,0.37431015359247954
25.0,25.0,train,0.001341598865445573,54.082505472135225,0.666160594196593
26.0,26.0,train,0.0028618166042384133,73.39599972254142,0.9036970565312415
27.0,27.0,train,6.502248652716846E-4,30.461797524459158,0.4124081569464174
28.0,28.0,train,0.004909763604654038,81.32377977010664,0.9819564906748435
29.0,29.0,train,0.001945581674628162,65.03487015053437,0.7962789052124866
30.0,30.0,train,9.264289362042724E-4,42.28594419072209,0.5312047447488307
31.0,31.0,train,5.614084579836644E-4,25.94801573621892,0.36814346832002776
32.0,32.0,train,0.006043043502105577,83.57027748843791,0.9928576341965112
33.0,33.0,train,9.264267120492069E-4,42.2853009327563,0.5312038920997926
34.0,34.0,train,0.012226922660828145,91.39035196385753,0.9999545360599181
35.0,35.0,train,0.0037828726399807802,77.82023230441946,0.9546548410383576
36.0,36.0,train,6.531662431965093E-4,30.59645405987021,0.41381980367201376
37.0,37.0,train,0.0020921948024607145,67.07054017973283,0.8192962969612388
38.0,38.0,train,2.9160072100494345E-4,14.70452966461335,0.21215750410041945
39.0,39.0,train,0.0013903920696475072,55.317776622287944,0.6792187862551395
40.0,40.0,train,0.001062669709569654,46.926067503994744,0.5806294295360466
41.0,41.0,train,0.006259379653188134,85.43046972570482,0.9940157277530921
42.0,42.0,train,7.199035730991454E-4,33.35894064827608,0.44495307693802244
43.0,43.0,train,0.001388304738399155,55.142149822809586,0.678670770999954
44.0,44.0,train,2.3868015322670534E-4,12.743035341621066,0.17731441341651621
45.0,45.0,train,1.483771466918657E-4,8.897143873924461,0.1142634461619626
46.0,46.0,train,3.538466327809004E-5,2.8970768576867227,0.02852124722257543
