x,y,species cloglog values
1.0,1.0,0.3787195
2.0,2.0,0.6625622
3.0,3.0,0.6983038
4.0,4.0,0.030292021
5.0,5.0,0.15779015
6.0,6.0,0.5887487
7.0,7.0,0.28179353
8.0,8.0,0.54582524
9.0,9.0,0.60619444
10.0,10.0,0.22715974
11.0,11.0,0.6010418
12.0,12.0,0.04291138
13.0,13.0,0.044089522
14.0,14.0,0.44060487
15.0,15.0,0.27541652
16.0,16.0,0.54548156
17.0,17.0,0.045013525
18.0,18.0,0.25840434
19.0,19.0,0.38084403
20.0,20.0,0.69110924
21.0,21.0,0.4879363
22.0,22.0,0.77175415
23.0,23.0,0.5959622
24.0,24.0,0.1457876
25.0,25.0,0.026436057
26.0,26.0,0.2819682
27.0,27.0,0.28471583
28.0,28.0,0.40783638
29.0,29.0,0.31118834
30.0,30.0,0.026435664
31.0,31.0,0.021503985
32.0,32.0,0.021419989
33.0,33.0,0.020960879
34.0,34.0,0.017317517
35.0,35.0,0.024695989
36.0,36.0,0.55334735
37.0,37.0,0.11001236
38.0,38.0,0.34005317
39.0,39.0,0.029064741
40.0,40.0,0.34090883
41.0,41.0,0.5131023
42.0,42.0,0.37031114
43.0,43.0,0.4957887
44.0,44.0,0.44762427
45.0,45.0,0.041775256
46.0,46.0,0.06953744
47.0,47.0,0.025027942
48.0,48.0,0.026367543
49.0,49.0,0.0710885
50.0,50.0,0.2677371
51.0,51.0,0.40196612
52.0,52.0,0.12781483
53.0,53.0,0.1926426
54.0,54.0,0.19977488
55.0,55.0,0.38816985
56.0,56.0,0.40826556
57.0,57.0,0.5697384
58.0,58.0,0.4811848
59.0,59.0,0.4448547
60.0,60.0,0.2682901
61.0,61.0,0.2803572
62.0,62.0,0.53155017
63.0,63.0,0.48100856
64.0,64.0,0.088287435
65.0,65.0,0.119481735
66.0,66.0,0.20798975
67.0,67.0,0.52190655
68.0,68.0,0.5826692
69.0,69.0,0.33048767
70.0,70.0,0.5449799
71.0,71.0,0.49767786
72.0,72.0,0.027055066
73.0,73.0,0.019418547
74.0,74.0,0.046720963
75.0,75.0,0.032279465
76.0,76.0,0.13690948
77.0,77.0,0.027831951
