Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.0698E-12,0.000000001,0.000000004,0.994378074,0,0
5.28703E-12,0.000000003,0.000000005,0.993675334,0,0
1.27445E-11,0.00000001,0.000000012,0.991801359,0,0
3.10559E-11,0.000000025,0.000000029,0.989927383,0,0
1.231E-10,0.000000102,0.000000114,0.987819161,0,0
2.68722E-10,0.000000269,0.000000248,0.985710939,0,0
7.99673E-10,0.00000104,0.000000738,0.982197236,0,0
1.8031E-9,0.0000025,0.000001663,0.97962052,0,0
5.92392E-9,0.000010412,0.000005464,0.974232841,0,0
1.22867E-8,0.000026113,0.000011332,0.970250644,0,0
1.96473E-8,0.000050647,0.000018121,0.966736941,0,0
3.53076E-8,0.00010329,0.000032564,0.962052003,0,0
5.71449E-8,0.000253047,0.000052704,0.954321855,0,0
1.18957E-7,0.000508337,0.000109708,0.947060201,0,0
1.91372E-7,0.001001846,0.000176488,0.939564301,0,0
3.50465E-7,0.002513076,0.000323183,0.926212228,0,0
5.48673E-7,0.005018503,0.000505917,0.912860155,0,0
9.25862E-7,0.010079971,0.000853563,0.895994378,0,0
1.81117E-6,0.025082724,0.001669055,0.870461466,0,0
2.6483E-6,0.050229791,0.002439561,0.84375732,0,0
4.2421E-6,0.100155494,0.003904869,0.80979152,0,0
6.85548E-6,0.200376666,0.006302901,0.768095573,0,0
8.80587E-6,0.300565212,0.008088814,0.738346217,0,0
1.01969E-5,0.400086262,0.009360537,0.713750293,0,0
1.16357E-5,0.500058328,0.010674283,0.692199578,0,0
1.30572E-5,0.601103153,0.011970502,0.672991333,0,0
1.42052E-5,0.700487756,0.013016058,0.655891309,0,0
1.47844E-5,0.751331823,0.01354318,0.647692668,0,0
1.55812E-5,0.801328056,0.014267899,0.63996252,0,0
1.70792E-5,0.900109968,0.015628851,0.625907707,0,0
1.84445E-5,1.001369797,0.016867607,0.612555634,0,0
1.9806E-5,1.100899392,0.018101325,0.600374795,0,0
2.08075E-5,1.200090229,0.019007951,0.588896697,0,0
2.16715E-5,1.300321925,0.019789311,0.577887093,0,0
2.26409E-5,1.400132599,0.020665347,0.567345983,0,0
2.38756E-5,1.500554183,0.021779954,0.557273366,0,0
2.60984E-5,1.751139922,0.023783349,0.533848677,0,0
2.87032E-5,2.00065437,0.026125776,0.512532209,0.02173913,0
3.1213E-5,2.250047133,0.028377541,0.493089717,0.02173913,0
3.41488E-5,2.501992638,0.031004797,0.475052706,0.02173913,0
3.65025E-5,2.752440823,0.033106077,0.458421176,0.02173913,0
3.90137E-5,3.001847492,0.035342881,0.442960881,0.02173913,0
4.17123E-5,3.251775893,0.037740878,0.428437573,0.02173913,0
4.47067E-5,3.501679039,0.040394721,0.414851253,0.02173913,0
4.72996E-5,3.754148647,0.042686814,0.401967674,0.02173913,0
5.07231E-5,4.003493451,0.045704795,0.390021082,0.02173913,0
5.3537E-5,4.253131173,0.048178244,0.378777231,0.02173913,0
5.61406E-5,4.50515877,0.050461106,0.368001874,0.02173913,0
5.9042E-5,4.752054926,0.052998673,0.357929257,0.02173913,0
6.32025E-5,5.00235747,0.056625559,0.348325135,0.02173913,0
6.71316E-5,5.250024376,0.060038044,0.339423753,0.02173913,0
7.11291E-5,5.506348584,0.06349719,0.330756617,0.02173913,0
7.44744E-5,5.753803625,0.066382272,0.322792223,0.02173913,0
7.94743E-5,6.00098917,0.070677616,0.315296322,0.02173913,0
8.48713E-5,6.255023237,0.075292049,0.308034669,0.02173913,0
9.02394E-5,6.501610865,0.079858999,0.301475755,0.02173913,0
9.52175E-5,6.75196256,0.084073995,0.295151089,0.02173913,0
1.00601E-4,7.005753006,0.088610296,0.28906067,0.02173913,0
1.05137E-4,7.253181914,0.092415294,0.283438744,0.02173913,0
1.12896E-4,7.50515239,0.098886963,0.278051066,0.02173913,0
1.1784E-4,7.7596606,0.102986269,0.272897634,0.02173913,0
1.21867E-4,8.010600785,0.106311716,0.267978449,0.02173913,0
1.27705E-4,8.259430954,0.111110975,0.263293511,0.02173913,0
1.33535E-4,8.507474827,0.11587822,0.25884282,0.02173913,0
1.38044E-4,8.752737008,0.119546695,0.254626376,0.02173913,0
1.44577E-4,9.007552074,0.124836409,0.250409932,0.02173913,0
1.53146E-4,9.261714728,0.131725845,0.246427735,0.02173913,0
1.58423E-4,9.510198174,0.135940886,0.242679784,0.02173913,0
1.62295E-4,9.750552754,0.139021524,0.239166081,0.02173913,0
1.67354E-4,10.01396562,0.14302957,0.235418131,0.02173913,0
1.73968E-4,10.253647679,0.14824121,0.232138674,0.043478261,0
1.79493E-4,10.502105907,0.152570046,0.228859218,0.043478261,0
1.8339E-4,10.756640216,0.155610907,0.225579761,0.043478261,0
1.86875E-4,11.015521296,0.158320691,0.222300305,0.065217391,0
1.91099E-4,11.261478568,0.161592857,0.219255095,0.065217391,0
1.97936E-4,11.514491578,0.166863165,0.216209885,0.065217391,0
2.03354E-4,11.755845008,0.171016015,0.213398922,0.065217391,0
2.10461E-4,12.004639049,0.176432154,0.21058796,0.065217391,0
2.16701E-4,12.260573116,0.181158093,0.207776997,0.065217391,0
2.2024E-4,12.501417916,0.183827019,0.205200281,0.065217391,0
2.31559E-4,12.75121203,0.192302927,0.202623565,0.065217391,0
2.36137E-4,13.008746196,0.195705877,0.200046849,0.065217391,0
2.43289E-4,13.272804025,0.200994024,0.197470134,0.065217391,0
2.49688E-4,13.518243658,0.205695663,0.195127665,0.065217391,0
2.56306E-4,13.772124164,0.210529331,0.192785196,0.065217391,0
2.60761E-4,14.004935325,0.213766389,0.190676974,0.065217391,0
2.67114E-4,14.270393289,0.218359829,0.188334505,0.065217391,0
2.72733E-4,14.513669467,0.222400098,0.186226283,0.065217391,0
2.7852E-4,14.762758289,0.226539684,0.18411806,0.065217391,0
2.84352E-4,15.016123469,0.230688759,0.182009838,0.065217391,0
2.90468E-4,15.275846648,0.235016028,0.179901616,0.065217391,0
2.95294E-4,15.51019222,0.23841308,0.178027641,0.065217391,0
3.02475E-4,15.779968377,0.243440908,0.175919419,0.086956522,0
3.0768E-4,16.02409796,0.247063959,0.174045444,0.086956522,0
3.12347E-4,16.272025464,0.250297772,0.172171469,0.086956522,0
3.15963E-4,16.523378517,0.252793872,0.170297494,0.086956522,0
3.19857E-4,16.777883969,0.255472671,0.168423518,0.086956522,0
3.25041E-4,17.004121481,0.259023848,0.16678379,0.086956522,0
3.3364E-4,17.268377857,0.264877526,0.164909815,0.086956522,0
3.41075E-4,17.504140252,0.269901555,0.163270087,0.086956522,0
3.4812E-4,17.780294926,0.274629499,0.161396112,0.086956522,0
3.53562E-4,18.026402714,0.278261734,0.159756383,0.108695652,0
3.57843E-4,18.275297692,0.281105265,0.158116655,0.108695652,0
3.62495E-4,18.528058274,0.284183221,0.156476927,0.152173913,0
3.70049E-4,18.785081724,0.289153101,0.154837198,0.152173913,0
3.74698E-4,19.008744315,0.29219473,0.153431717,0.152173913,0
3.82515E-4,19.273834063,0.297279581,0.151791989,0.152173913,0
3.86564E-4,19.504770036,0.299898904,0.150386507,0.152173913,0
3.89454E-4,19.776496588,0.301762091,0.148746779,0.152173913,0
3.96659E-4,20.011985521,0.306387162,0.147341298,0.152173913,0
4.06299E-4,20.252744978,0.312526787,0.145935816,0.152173913,0
4.17065E-4,20.500994376,0.319319021,0.144530335,0.152173913,0
4.22389E-4,20.753896752,0.322653217,0.143124854,0.152173913,0
4.27241E-4,21.009232294,0.32567753,0.141719372,0.152173913,0
4.33498E-4,21.267593082,0.329557847,0.140313891,0.152173913,0
4.4631E-4,21.53317339,0.337433257,0.138908409,0.152173913,0
4.51661E-4,21.758129876,0.340695667,0.137737175,0.152173913,0
4.58227E-4,22.031610541,0.344676054,0.136331694,0.152173913,0
4.63994E-4,22.262096359,0.348152563,0.135160459,0.152173913,0
4.67885E-4,22.541891433,0.350487266,0.133754978,0.173913043,0
4.72096E-4,22.77697842,0.353005296,0.132583743,0.195652174,0
4.78859E-4,23.015110472,0.357028348,0.131412509,0.195652174,0
4.82828E-4,23.2557774,0.359377787,0.130241274,0.195652174,0
4.89395E-4,23.548267419,0.363246071,0.128835793,0.195652174,0
4.99522E-4,23.796670025,0.369165872,0.127664558,0.195652174,0
5.06583E-4,24.048539064,0.373260572,0.126493324,0.195652174,0
5.09735E-4,24.251809215,0.375079914,0.125556336,0.195652174,0
5.16012E-4,24.508543965,0.378687429,0.124385102,0.195652174,0
5.18221E-4,24.767316209,0.379951722,0.123213867,0.195652174,0
5.23343E-4,25.028083239,0.382874432,0.122042633,0.195652174,0
5.32758E-4,25.293349516,0.388209699,0.120871398,0.195652174,0
5.35096E-4,25.506991521,0.389527735,0.119934411,0.195652174,0
5.37521E-4,25.775254089,0.390891609,0.118763176,0.195652174,0
5.46072E-4,26.047133043,0.395676158,0.117591942,0.195652174,0
5.51173E-4,26.266647062,0.398513088,0.116654954,0.195652174,0
5.55561E-4,26.543805811,0.40094236,0.11548372,0.195652174,0
5.63609E-4,26.76848383,0.405372369,0.114546732,0.195652174,0
5.69014E-4,27.051877181,0.408329175,0.113375498,0.195652174,0
5.72953E-4,27.280553243,0.410474933,0.11243851,0.195652174,0
5.75603E-4,27.510430817,0.411914068,0.111501523,0.195652174,0
5.79272E-4,27.799202686,0.413900601,0.110330288,0.195652174,0
5.85221E-4,28.032154458,0.41710764,0.109393301,0.195652174,0
5.93454E-4,28.268281844,0.421516983,0.108456313,0.195652174,0
5.97759E-4,28.506566238,0.423809553,0.107519325,0.217391304,0
6.03014E-4,28.807102435,0.426595394,0.106348091,0.217391304,0
6.09749E-4,29.050327459,0.430146049,0.105411103,0.217391304,0
6.1346E-4,29.295068989,0.432093262,0.104474116,0.217391304,0
6.16129E-4,29.541088765,0.433489458,0.103537128,0.217391304,0
6.19687E-4,29.788493585,0.435345123,0.102600141,0.217391304,0
6.28068E-4,30.037926101,0.439693478,0.101663153,0.217391304,0
6.34576E-4,30.290874168,0.443046499,0.100726165,0.217391304,0
6.38499E-4,30.545643962,0.445058082,0.099789178,0.217391304,0
6.45166E-4,30.802417212,0.448459615,0.09885219,0.217391304,0
6.4983E-4,31.061305325,0.45082693,0.097915203,0.217391304,0
6.51431E-4,31.256462558,0.451637287,0.097212462,0.239130435,0
6.60115E-4,31.519052209,0.456012146,0.096275474,0.239130435,0
6.66103E-4,31.784448497,0.459008176,0.095338487,0.239130435,0
6.75153E-4,32.05330723,0.463504734,0.094401499,0.239130435,0
6.83753E-4,32.25819362,0.467743176,0.093698758,0.239130435,0
6.8517E-4,32.532031806,0.468438269,0.092761771,0.239130435,0
6.93907E-4,32.808211842,0.472704554,0.091824783,0.239130435,0
6.95706E-4,33.016707801,0.473578799,0.091122043,0.239130435,0
7.09338E-4,33.297504752,0.480156297,0.090185055,0.260869565,0
7.12647E-4,33.510888518,0.481740327,0.089482314,0.260869565,0
7.16238E-4,33.796845672,0.483453669,0.088545327,0.282608696,0
7.22636E-4,34.013145019,0.486492925,0.087842586,0.282608696,0
7.27781E-4,34.303331134,0.48892392,0.086905599,0.282608696,0
7.30916E-4,34.522449053,0.49039936,0.086202858,0.282608696,0
7.49868E-4,34.820025962,0.49922985,0.08526587,0.304347826,0
7.53858E-4,35.045819404,0.501069211,0.08456313,0.304347826,0
7.59057E-4,35.272741428,0.503455933,0.083860389,0.304347826,0
7.60999E-4,35.500786886,0.504344247,0.083157648,0.304347826,0
7.6701E-4,35.806256584,0.507084541,0.082220661,0.304347826,0
7.75206E-4,36.037473497,0.510796753,0.08151792,0.304347826,0
7.78566E-4,36.270450982,0.512310302,0.080815179,0.326086957,0
7.81373E-4,36.504634252,0.513571453,0.080112439,0.326086957,0
