x,y,species cloglog values
1.0,1.0,0.50345594
2.0,2.0,0.88869065
3.0,3.0,0.7358627
4.0,4.0,0.8020636
5.0,5.0,0.042158615
6.0,6.0,0.22480176
7.0,7.0,0.6501258
8.0,8.0,0.33208856
9.0,9.0,0.27384678
10.0,10.0,0.6690019
11.0,11.0,0.32169637
12.0,12.0,0.06481111
13.0,13.0,0.5075078
14.0,14.0,0.3567425
15.0,15.0,0.122381404
16.0,16.0,0.61399186
17.0,17.0,0.06560607
18.0,18.0,0.3125268
19.0,19.0,0.8566197
20.0,20.0,0.5352433
21.0,21.0,0.65160525
22.0,22.0,0.2224001
23.0,23.0,0.035481762
24.0,24.0,0.17008178
25.0,25.0,0.32567754
26.0,26.0,0.33795
27.0,27.0,0.46801335
28.0,28.0,0.3593778
29.0,29.0,0.03603578
30.0,30.0,0.02905882
31.0,31.0,0.026685657
32.0,32.0,0.020602224
33.0,33.0,0.030243715
34.0,34.0,0.03439168
35.0,35.0,0.06302506
36.0,36.0,0.6321172
37.0,37.0,0.15258346
38.0,38.0,0.41153488
39.0,39.0,0.4804581
40.0,40.0,0.4043223
41.0,41.0,0.7091863
42.0,42.0,0.04390545
43.0,43.0,0.40537238
44.0,44.0,0.63249034
45.0,45.0,0.5823155
46.0,46.0,0.6616715
47.0,47.0,0.06511331
48.0,48.0,0.101587094
49.0,49.0,0.034960732
50.0,50.0,0.10150879
51.0,51.0,0.68329877
52.0,52.0,0.035316017
53.0,53.0,0.100846134
54.0,54.0,0.45601216
55.0,55.0,0.14346991
56.0,56.0,0.14302626
57.0,57.0,0.24029458
58.0,58.0,0.25279388
59.0,59.0,0.62568223
60.0,60.0,0.6047217
61.0,61.0,0.27830562
62.0,62.0,0.3009365
63.0,63.0,0.6449435
64.0,64.0,0.5393515
65.0,65.0,0.6276322
66.0,66.0,0.15219209
67.0,67.0,0.18151645
68.0,68.0,0.24344091
69.0,69.0,0.6144038
70.0,70.0,0.6567754
71.0,71.0,0.4083292
72.0,72.0,0.56497097
73.0,73.0,0.023141013
74.0,74.0,0.027841894
75.0,75.0,0.67304194
76.0,76.0,0.16892946
77.0,77.0,0.037030123
78.0,78.0,0.62114626
79.0,79.0,0.15324764
80.0,80.0,0.76743203
81.0,81.0,0.081575185
82.0,82.0,0.023825038
83.0,83.0,0.019665685
84.0,84.0,0.016134799
85.0,85.0,0.42903134
86.0,86.0,0.7027726
87.0,87.0,0.6865885
88.0,88.0,0.5826972
89.0,89.0,0.49606228
90.0,90.0,0.21835983
91.0,91.0,0.07915602
92.0,92.0,0.53487283
93.0,93.0,0.2983613
94.0,94.0,0.17177288
95.0,95.0,0.51848704
96.0,96.0,0.5289299
97.0,97.0,0.49922985
98.0,98.0,0.44505808
99.0,99.0,0.027202757
100.0,100.0,0.028537627
101.0,101.0,0.03878293
102.0,102.0,0.04041954
103.0,103.0,0.30097795
104.0,104.0,0.028944056
105.0,105.0,0.047072228
106.0,106.0,0.63863903
107.0,107.0,0.10381126
108.0,108.0,0.21082458
109.0,109.0,0.13608909
110.0,110.0,0.4039348
111.0,111.0,0.32133278
112.0,112.0,0.0278398
113.0,113.0,0.008874681
114.0,114.0,0.38952774
115.0,115.0,0.030362833
116.0,116.0,0.026401063
117.0,117.0,0.34477514
118.0,118.0,0.76262087
119.0,119.0,0.84436476
120.0,120.0,0.706581
121.0,121.0,0.59781164
122.0,122.0,0.5990672
123.0,123.0,0.06267514
124.0,124.0,0.016710687
125.0,125.0,0.026073499
126.0,126.0,0.24344368
127.0,127.0,0.038655695
128.0,128.0,0.023840947
129.0,129.0,0.07270706
130.0,130.0,0.044215515
131.0,131.0,0.43403837
132.0,132.0,0.04274211
133.0,133.0,0.017928466
134.0,134.0,0.027153645
135.0,135.0,0.039804794
136.0,136.0,0.13515578
